iter	Logloss
0	0.6336590273
1	0.5878033961
2	0.5492803918
3	0.5206697307
4	0.4972267057
5	0.478615606
6	0.4631395012
7	0.4516357455
8	0.4386428326
9	0.4291345941
10	0.4210920944
11	0.4149873506
12	0.4088359108
13	0.4025957276
14	0.3974232938
15	0.3932941608
16	0.3898032178
17	0.3861068758
18	0.3831889374
19	0.3797159113
20	0.3773848122
21	0.3748815391
22	0.3731780691
23	0.3708742043
24	0.3687435317
25	0.3670697077
26	0.3653387349
27	0.3633432858
28	0.3621934255
29	0.3607052877
30	0.3595635929
31	0.3583133751
32	0.3572016232
33	0.3559343812
34	0.3551716494
35	0.3541737541
36	0.3531055884
37	0.3521387844
38	0.3512931462
39	0.350591093
40	0.3499022152
41	0.3492413013
42	0.3487518634
43	0.348032183
44	0.3474063299
45	0.3467104972
46	0.3461787774
47	0.3455198072
48	0.3449338101
49	0.3444895774
50	0.3438397275
51	0.3432256434
52	0.3427881649
53	0.3425765301
54	0.3423143624
55	0.3418143684
56	0.3412450202
57	0.3406942222
58	0.3401308599
59	0.339622575
60	0.339205417
61	0.338885834
62	0.3385485488
63	0.3383480074
64	0.3379737307
65	0.3376891076
66	0.3373949513
67	0.3371392587
68	0.3367498956
69	0.3364449873
70	0.3360596642
71	0.3357812781
72	0.3356428698
73	0.3354410017
74	0.3351840738
75	0.3349129148
76	0.3346540514
77	0.3344494654
78	0.3342577288
79	0.3340500765
80	0.333830132
81	0.3334765006
82	0.3332803194
83	0.3330263757
84	0.3328749046
85	0.3327756954
86	0.3325921172
87	0.3322693988
88	0.3319938772
89	0.3316574636
90	0.3314781001
91	0.3313216788
92	0.3310849106
93	0.3309101314
94	0.3307105788
95	0.3305153231
96	0.3302889422
97	0.330121411
98	0.3298387375
99	0.3297212115
100	0.3295304098
101	0.3293352256
102	0.3291839058
103	0.3289580797
104	0.3288267483
105	0.3286430012
106	0.3283919561
107	0.3281943742
108	0.3279111987
109	0.3277135054
110	0.3275643157
111	0.3273652958
112	0.3271295013
113	0.3269992303
114	0.3268022995
115	0.3266331707
116	0.3264150807
117	0.3262156138
118	0.3259390166
119	0.3257145184
120	0.3255155277
121	0.325347023
122	0.3252354173
123	0.3250478226
124	0.3248442994
125	0.324705579
126	0.3245816319
127	0.324404442
128	0.3241841409
129	0.3240910046
130	0.3239441809
131	0.3238115733
132	0.3236709515
133	0.3233795647
134	0.3232278671
135	0.3231086801
136	0.3229205271
137	0.3227371835
138	0.3225885229
139	0.3224370741
140	0.3221354948
141	0.3220440887
142	0.3218324997
143	0.3216688044
144	0.3215160405
145	0.3213895784
146	0.321280361
147	0.32113462
148	0.3209428705
149	0.3207780162
150	0.3206506426
151	0.3204312131
152	0.320307741
153	0.3201738794
154	0.3200388389
155	0.3198487902
156	0.3197021766
157	0.3195821544
158	0.3194273987
159	0.319234753
160	0.3190046946
161	0.3188607942
162	0.318750012
163	0.3185681851
164	0.3184426802
165	0.3183452189
166	0.3182594105
167	0.3181489051
168	0.3180077003
169	0.3179202484
170	0.3178362383
171	0.317752234
172	0.3175691297
173	0.3174571604
174	0.3173159403
175	0.3171391118
176	0.3170149687
177	0.3168918075
178	0.3168079967
179	0.3167036216
180	0.3165615499
181	0.3164699292
182	0.3163526648
183	0.3161951947
184	0.3160829157
185	0.3159872398
186	0.3158681208
187	0.3156963867
188	0.3155665908
189	0.3154160592
190	0.3152860522
191	0.3151477694
192	0.314989226
193	0.3148823371
194	0.3147745391
195	0.3146291665
196	0.3145651155
197	0.3144408234
198	0.3143415345
199	0.3141778568
200	0.3140900156
201	0.3139839947
202	0.3139236528
203	0.3138766799
204	0.31378937
205	0.313649974
206	0.3134669906
207	0.3133436311
208	0.3131844074
209	0.3129848654
210	0.3129404016
211	0.3128379902
212	0.3126973109
213	0.3125749731
214	0.3124387889
215	0.312370129
216	0.3122217887
217	0.3121357562
218	0.3120284696
219	0.3119155349
220	0.3117977121
221	0.3116150031
222	0.3115169999
223	0.3113885753
224	0.31130129
225	0.3112465916
226	0.3111381085
227	0.3109973671
228	0.3108606995
229	0.3107699128
230	0.310672889
231	0.3105659895
232	0.3105088313
233	0.3103769814
234	0.3102712924
235	0.3101273967
236	0.3099720839
237	0.3098407783
238	0.30971039
239	0.3095771313
240	0.3094770495
241	0.30937598
242	0.3092489606
243	0.3091280962
244	0.3089764033
245	0.3087975606
246	0.3086962847
247	0.3086162229
248	0.3084908224
249	0.3084162892
250	0.308268079
251	0.3082201654
252	0.3081566469
253	0.3080697957
254	0.3079204888
255	0.3078245642
256	0.3077199345
257	0.3076447655
258	0.3075161403
259	0.3074477631
260	0.3073691653
261	0.3072765357
262	0.3071974629
263	0.3071050362
264	0.3069446113
265	0.3068776524
266	0.3067960598
267	0.3066643683
268	0.3065711487
269	0.3064795608
270	0.3063925383
271	0.3062537523
272	0.3061764038
273	0.3060158053
274	0.3058688151
275	0.3057608552
276	0.3056514536
277	0.305495105
278	0.3053606122
279	0.3052317818
280	0.3051490232
281	0.3050314949
282	0.3049212828
283	0.3048350861
284	0.3047411803
285	0.304626195
286	0.3045129964
287	0.3044125321
288	0.3043241888
289	0.3041941513
290	0.3041029199
291	0.3039876544
292	0.3038647113
293	0.303796462
294	0.303725808
295	0.3036684597
296	0.3035672447
297	0.303450575
298	0.3033391429
299	0.3031909856
300	0.3031138705
301	0.3030908627
302	0.303015011
303	0.3029291205
304	0.3028285846
305	0.3026890397
306	0.3026176866
307	0.3025176716
308	0.3024138243
309	0.3023061752
310	0.3021730397
311	0.302097405
312	0.3019554917
313	0.3018797268
314	0.3017827136
315	0.3016765015
316	0.3015631703
317	0.3014779566
318	0.3013902197
319	0.301312795
320	0.3012092023
321	0.3011287171
322	0.3010444735
323	0.3009746371
324	0.3008667159
325	0.3007777157
326	0.3007094581
327	0.3006587797
328	0.3005859966
329	0.3004820743
330	0.3004054026
331	0.3003329339
332	0.3001928799
333	0.3000853892
334	0.2999470501
335	0.2999067482
336	0.2998152119
337	0.2996627589
338	0.299557612
339	0.299470566
340	0.2994224119
341	0.2993223383
342	0.2992499505
343	0.2991872109
344	0.2990834012
345	0.2989706823
346	0.2988637875
347	0.2988001154
348	0.2986469515
349	0.2985731397
350	0.2985161679
351	0.2983965317
352	0.2983128922
353	0.2982282111
354	0.2981007788
355	0.2980101153
356	0.2978739228
357	0.297782383
358	0.2976851023
359	0.2976301271
360	0.2975421157
361	0.297428144
362	0.2973666971
363	0.2972805614
364	0.2971894474
365	0.2970858969
366	0.2970223163
367	0.2969309806
368	0.2968516649
369	0.2967957664
370	0.2967040682
371	0.2966400442
372	0.2965739509
373	0.2965104888
374	0.2964257302
375	0.2963805076
376	0.2962789805
377	0.2961884378
378	0.2961349933
379	0.296033254
380	0.2959778013
381	0.2958386516
382	0.2957636304
383	0.2956957119
384	0.2955840065
385	0.2954953734
386	0.295389932
387	0.2952563578
388	0.295175875
389	0.2950918543
390	0.2949540172
391	0.294865383
392	0.2947499039
393	0.294697724
394	0.2945933453
395	0.2945064554
396	0.29438132
397	0.2943191024
398	0.2942667594
399	0.2941840443
400	0.2940703213
401	0.2939950854
402	0.2939264678
403	0.2938330898
404	0.2937733309
405	0.293682238
406	0.2935647038
407	0.2934585503
408	0.293409527
409	0.2933144329
410	0.2932480956
411	0.2931776223
412	0.2931124604
413	0.2930592517
414	0.29297016
415	0.2928997382
416	0.2928219839
417	0.2927758955
418	0.2927118151
419	0.2926472292
420	0.292571449
421	0.2925134262
422	0.2923996457
423	0.2922873186
424	0.2921619861
425	0.2920585283
426	0.2919513414
427	0.2918597605
428	0.2917680529
429	0.291671801
430	0.2915592991
431	0.2914607927
432	0.2913886102
433	0.2913083197
434	0.2912759722
435	0.2911859245
436	0.2910987976
437	0.2910401425
438	0.2909949187
439	0.2909633113
440	0.2908822373
441	0.2908484939
442	0.290730169
443	0.2905899449
444	0.2904841199
445	0.2903793236
446	0.2903084022
447	0.290231117
448	0.2901733863
449	0.290079986
450	0.2899803054
451	0.2898817098
452	0.2898379334
453	0.2897033187
454	0.2896560021
455	0.2895748753
456	0.2894562772
457	0.2893735984
458	0.2893179604
459	0.2892647622
460	0.2891663954
461	0.2890786996
462	0.2889836876
463	0.288866056
464	0.288773512
465	0.2887250412
466	0.2886688085
467	0.2885864687
468	0.2884794179
469	0.2883811026
470	0.2882411084
471	0.2882096993
472	0.2881438829
473	0.2880302807
474	0.2879405192
475	0.2878661162
476	0.2877293184
477	0.2876057889
478	0.2875252145
479	0.2874157273
480	0.2873655885
481	0.287301263
482	0.2872452836
483	0.2871463841
484	0.2870585089
485	0.2869874314
486	0.2868944792
487	0.2868218135
488	0.2867469483
489	0.2866762802
490	0.2865766359
491	0.2864860368
492	0.2864134426
493	0.2863469282
494	0.2862118595
495	0.2861269696
496	0.286056108
497	0.2859813249
498	0.2859635324
499	0.2858553953
500	0.2857389415
501	0.285654461
502	0.2855585234
503	0.2855212867
504	0.2854404391
505	0.2853454048
506	0.2852218811
507	0.2851384798
508	0.2850569447
509	0.2850039143
510	0.2849154619
511	0.2848559646
512	0.2847678043
