iter	Passed	Remaining
0	10	10053
1	18	9044
2	25	8468
3	31	7852
4	41	8291
5	46	7762
6	52	7482
7	57	7073
8	61	6725
9	65	6452
10	69	6211
11	72	5993
12	76	5812
13	80	5697
14	84	5557
15	88	5434
16	91	5318
17	96	5251
18	100	5175
19	104	5114
20	108	5038
21	112	4985
22	115	4911
23	119	4859
24	123	4804
25	126	4753
26	130	4698
27	134	4669
28	138	4637
29	142	4609
30	146	4575
31	150	4540
32	153	4506
33	157	4481
34	161	4459
35	166	4448
36	169	4418
37	173	4401
38	177	4363
39	180	4342
40	184	4321
41	188	4288
42	192	4280
43	196	4275
44	200	4260
45	204	4244
46	209	4239
47	212	4220
48	216	4206
49	221	4211
50	225	4203
51	229	4190
52	233	4168
53	237	4152
54	240	4136
55	245	4130
56	248	4112
57	252	4100
58	255	4082
59	259	4069
60	263	4057
61	266	4037
62	270	4026
63	274	4009
64	278	4003
65	282	4001
66	286	3994
67	290	3980
68	294	3970
69	298	3959
70	301	3950
71	306	3947
72	309	3936
73	314	3931
74	317	3919
75	321	3910
76	325	3898
77	328	3883
78	332	3874
79	336	3865
80	339	3854
81	343	3843
82	347	3837
83	351	3828
84	354	3819
85	358	3810
86	362	3803
87	366	3800
88	370	3795
89	374	3789
90	378	3780
91	382	3772
92	385	3763
93	389	3754
94	393	3748
95	397	3740
96	401	3735
97	404	3727
98	409	3723
99	412	3714
100	416	3706
101	420	3699
102	424	3696
103	429	3696
104	432	3688
105	436	3682
106	440	3674
107	444	3674
108	448	3663
109	452	3660
110	456	3657
111	460	3653
112	464	3646
113	468	3639
114	472	3634
115	476	3630
116	481	3630
117	485	3626
118	489	3623
119	493	3616
120	497	3611
121	500	3602
122	504	3594
123	507	3588
124	512	3587
125	516	3583
126	520	3575
127	523	3567
128	528	3565
129	532	3560
130	535	3553
131	539	3546
132	542	3538
133	546	3531
134	550	3527
135	554	3521
136	558	3517
137	562	3510
138	565	3504
139	569	3500
140	573	3496
141	577	3488
142	581	3482
143	584	3476
144	588	3470
145	592	3466
146	596	3462
147	600	3458
148	604	3452
149	608	3447
150	612	3444
151	616	3439
152	620	3436
153	624	3430
154	628	3428
155	632	3424
156	637	3425
157	641	3419
158	645	3416
159	650	3412
160	654	3412
161	658	3408
162	663	3405
163	667	3400
164	671	3395
165	674	3388
166	678	3384
167	681	3377
168	685	3371
169	689	3366
170	693	3361
171	697	3355
172	701	3354
173	705	3348
174	709	3343
175	713	3341
176	717	3335
177	720	3329
178	724	3322
179	728	3318
180	732	3315
181	736	3311
182	741	3310
183	745	3306
184	749	3300
185	752	3294
186	756	3289
187	760	3284
188	764	3280
189	769	3279
190	773	3274
191	776	3269
192	780	3264
193	784	3258
194	787	3252
195	791	3247
196	796	3244
197	800	3241
198	805	3240
199	808	3234
200	812	3231
201	816	3226
202	820	3221
203	824	3215
204	827	3210
205	831	3206
206	835	3201
207	839	3196
208	843	3191
209	847	3187
210	851	3183
211	856	3182
212	860	3178
213	865	3177
214	869	3173
215	873	3170
216	877	3166
217	881	3163
218	886	3160
219	890	3158
220	894	3154
221	898	3150
222	902	3145
223	906	3141
224	912	3143
225	917	3142
226	921	3138
227	925	3135
228	929	3130
229	933	3125
230	937	3120
231	941	3115
232	944	3110
233	949	3106
234	952	3100
235	956	3095
236	960	3091
237	963	3086
238	967	3080
239	971	3077
240	975	3071
241	979	3067
242	982	3061
243	986	3056
244	990	3051
245	993	3045
246	998	3042
247	1002	3039
248	1005	3033
249	1009	3028
250	1013	3025
251	1016	3018
252	1020	3012
253	1024	3007
254	1027	3003
255	1032	2999
256	1036	2996
257	1040	2991
258	1043	2986
259	1047	2982
260	1051	2978
261	1056	2974
262	1059	2969
263	1063	2965
264	1067	2959
265	1070	2954
266	1074	2949
267	1078	2945
268	1083	2943
269	1086	2938
270	1090	2933
271	1094	2929
272	1097	2923
273	1101	2918
274	1105	2913
275	1109	2909
276	1113	2905
277	1118	2905
278	1122	2901
279	1126	2897
280	1130	2892
281	1134	2888
282	1137	2883
283	1141	2878
284	1145	2874
285	1149	2870
286	1154	2867
287	1157	2861
288	1161	2856
289	1164	2851
290	1168	2846
291	1172	2842
292	1176	2839
293	1180	2835
294	1184	2829
295	1188	2827
296	1192	2823
297	1196	2819
298	1201	2815
299	1206	2814
300	1209	2809
301	1213	2805
302	1217	2801
303	1222	2798
304	1226	2795
305	1230	2790
306	1234	2785
307	1237	2780
308	1241	2776
309	1245	2772
310	1249	2768
311	1253	2763
312	1258	2761
313	1262	2759
314	1267	2755
315	1271	2752
316	1275	2747
317	1278	2742
318	1282	2737
319	1286	2732
320	1289	2728
321	1294	2725
322	1298	2721
323	1301	2716
324	1305	2711
325	1309	2706
326	1312	2701
327	1316	2698
328	1321	2694
329	1324	2689
330	1329	2686
331	1333	2682
332	1337	2679
333	1341	2675
334	1346	2672
335	1350	2667
336	1354	2664
337	1357	2659
338	1361	2654
339	1365	2650
340	1369	2646
341	1373	2642
342	1377	2637
343	1380	2632
344	1384	2627
345	1387	2623
346	1391	2618
347	1394	2613
348	1399	2610
349	1403	2606
350	1408	2603
351	1412	2600
352	1417	2597
353	1421	2593
354	1425	2589
355	1429	2585
356	1434	2583
357	1438	2579
358	1442	2575
359	1445	2569
360	1449	2565
361	1452	2560
362	1456	2555
363	1460	2551
364	1464	2547
365	1468	2543
366	1471	2538
367	1475	2533
368	1479	2529
369	1483	2525
370	1486	2520
371	1490	2516
372	1494	2512
373	1497	2507
374	1501	2502
375	1505	2498
376	1510	2496
377	1514	2492
378	1518	2488
379	1522	2484
380	1526	2479
381	1530	2475
382	1533	2470
383	1537	2466
384	1540	2461
385	1544	2457
386	1549	2453
387	1553	2450
388	1557	2446
389	1560	2441
390	1564	2437
391	1568	2432
392	1572	2428
393	1576	2424
394	1580	2421
395	1584	2417
396	1588	2412
397	1592	2408
398	1596	2404
399	1600	2400
400	1604	2396
401	1608	2392
402	1612	2388
403	1615	2383
404	1619	2378
405	1622	2374
406	1626	2370
407	1630	2365
408	1634	2361
409	1637	2356
410	1640	2351
411	1644	2347
412	1648	2342
413	1652	2338
414	1655	2334
415	1659	2329
416	1663	2326
417	1667	2321
418	1671	2317
419	1674	2312
420	1678	2308
421	1681	2303
422	1685	2299
423	1689	2295
424	1694	2292
425	1698	2287
426	1701	2283
427	1706	2280
428	1709	2275
429	1713	2271
430	1717	2266
431	1721	2263
432	1726	2260
433	1730	2256
434	1733	2251
435	1737	2247
436	1740	2242
437	1744	2238
438	1750	2237
439	1754	2232
440	1758	2228
441	1762	2224
442	1766	2220
443	1769	2216
444	1773	2212
445	1777	2208
446	1781	2204
447	1787	2202
448	1791	2198
449	1795	2194
450	1799	2190
451	1802	2185
452	1806	2181
453	1811	2178
454	1814	2173
455	1818	2169
456	1822	2165
457	1826	2161
458	1830	2157
459	1834	2153
460	1838	2149
461	1842	2145
462	1846	2141
463	1849	2136
464	1853	2132
465	1857	2128
466	1861	2124
467	1865	2120
468	1869	2116
469	1873	2112
470	1877	2108
471	1880	2104
472	1884	2099
473	1888	2095
474	1892	2091
475	1896	2087
476	1900	2084
477	1905	2080
478	1908	2076
479	1912	2071
480	1916	2067
481	1920	2063
482	1923	2059
483	1927	2054
484	1931	2050
485	1934	2046
486	1938	2042
487	1942	2038
488	1946	2033
489	1950	2030
490	1956	2027
491	1960	2023
492	1963	2019
493	1967	2015
494	1971	2010
495	1974	2006
496	1979	2002
497	1983	1999
498	1987	1994
499	1991	1991
500	1994	1986
501	1998	1982
502	2002	1978
503	2005	1973
504	2009	1969
505	2013	1965
506	2017	1961
507	2021	1957
508	2024	1952
509	2028	1948
510	2032	1944
511	2036	1940
512	2040	1936
513	2044	1932
514	2048	1928
515	2051	1924
516	2055	1920
517	2059	1916
518	2063	1912
519	2066	1907
520	2070	1903
521	2074	1899
522	2078	1895
523	2081	1891
524	2085	1886
525	2088	1882
526	2092	1878
527	2097	1875
528	2102	1871
529	2106	1868
530	2110	1864
531	2114	1860
532	2117	1855
533	2121	1851
534	2125	1847
535	2129	1843
536	2133	1839
537	2137	1835
538	2141	1831
539	2145	1827
540	2149	1823
541	2153	1819
542	2157	1815
543	2161	1811
544	2165	1807
545	2168	1803
546	2172	1798
547	2176	1794
548	2180	1791
549	2185	1788
550	2189	1784
551	2193	1780
552	2197	1776
553	2201	1772
554	2205	1768
555	2210	1765
556	2214	1761
557	2218	1757
558	2222	1753
559	2226	1749
560	2229	1744
561	2233	1740
562	2237	1736
563	2240	1732
564	2244	1728
565	2248	1723
566	2252	1719
567	2255	1715
568	2259	1711
569	2263	1707
570	2266	1703
571	2270	1699
572	2274	1695
573	2278	1690
574	2283	1687
575	2287	1684
576	2292	1680
577	2296	1676
578	2301	1673
579	2304	1668
580	2309	1665
581	2312	1661
582	2317	1657
583	2321	1653
584	2326	1650
585	2329	1645
586	2333	1642
587	2337	1637
588	2341	1633
589	2344	1629
590	2348	1625
591	2352	1621
592	2356	1617
593	2361	1613
594	2364	1609
595	2368	1605
596	2372	1601
597	2376	1597
598	2379	1593
599	2383	1589
600	2388	1585
601	2391	1581
602	2395	1577
603	2399	1573
604	2403	1569
605	2407	1565
606	2412	1561
607	2416	1557
608	2420	1554
609	2424	1550
610	2429	1546
611	2433	1542
612	2437	1539
613	2441	1535
614	2446	1531
615	2450	1527
616	2454	1523
617	2458	1519
618	2461	1515
619	2465	1511
620	2469	1507
621	2474	1503
622	2477	1499
623	2481	1495
624	2485	1491
625	2488	1486
626	2492	1482
627	2496	1478
628	2501	1475
629	2505	1471
630	2509	1467
631	2513	1463
632	2517	1459
633	2521	1455
634	2525	1451
635	2529	1447
636	2534	1444
637	2537	1439
638	2541	1435
639	2545	1431
640	2549	1427
641	2553	1423
642	2556	1419
643	2560	1415
644	2564	1411
645	2570	1408
646	2573	1404
647	2578	1400
648	2581	1396
649	2587	1393
650	2590	1388
651	2594	1384
652	2598	1380
653	2602	1376
654	2606	1372
655	2610	1368
656	2614	1364
657	2618	1360
658	2622	1356
659	2625	1352
660	2629	1348
661	2633	1344
662	2637	1340
663	2643	1337
664	2648	1333
665	2652	1330
666	2660	1328
667	2664	1324
668	2667	1319
669	2671	1316
670	2678	1313
671	2682	1309
672	2687	1305
673	2692	1302
674	2695	1297
675	2699	1294
676	2703	1290
677	2708	1286
678	2712	1282
679	2716	1278
680	2720	1274
681	2723	1270
682	2727	1265
683	2731	1261
684	2736	1258
685	2740	1254
686	2744	1250
687	2748	1246
688	2752	1242
689	2755	1238
690	2759	1233
691	2763	1229
692	2766	1225
693	2770	1221
694	2773	1217
695	2777	1213
696	2781	1209
697	2784	1204
698	2788	1200
699	2792	1196
700	2797	1193
701	2801	1189
702	2805	1185
703	2809	1181
704	2813	1177
705	2817	1173
706	2821	1169
707	2826	1165
708	2830	1161
709	2834	1157
710	2837	1153
711	2841	1149
712	2845	1145
713	2849	1141
714	2853	1137
715	2857	1133
716	2860	1128
717	2864	1125
718	2868	1121
719	2872	1116
720	2876	1113
721	2880	1108
722	2884	1105
723	2887	1100
724	2891	1096
725	2895	1092
726	2899	1088
727	2903	1084
728	2906	1080
729	2910	1076
730	2914	1072
731	2918	1068
732	2922	1064
733	2926	1060
734	2930	1056
735	2934	1052
736	2938	1048
737	2942	1044
738	2946	1040
739	2950	1036
740	2953	1032
741	2957	1028
742	2962	1024
743	2966	1020
744	2969	1016
745	2973	1012
746	2977	1008
747	2980	1004
748	2984	1000
749	2988	996
750	2991	992
751	2996	988
752	3000	984
753	3004	980
754	3008	976
755	3012	972
756	3016	968
757	3020	964
758	3025	960
759	3028	956
760	3033	952
761	3036	948
762	3040	944
763	3044	940
764	3047	936
765	3051	932
766	3054	927
767	3058	923
768	3062	919
769	3066	915
770	3069	911
771	3073	907
772	3077	903
773	3081	899
774	3085	895
775	3088	891
776	3092	887
777	3095	883
778	3099	879
779	3102	875
780	3107	871
781	3111	867
782	3115	863
783	3119	859
784	3123	855
785	3126	851
786	3130	847
787	3135	843
788	3139	839
789	3143	835
790	3147	831
791	3151	827
792	3155	823
793	3158	819
794	3162	815
795	3166	811
796	3170	807
797	3175	803
798	3179	799
799	3182	795
800	3186	791
801	3191	787
802	3194	783
803	3198	779
804	3202	775
805	3206	771
806	3209	767
807	3213	763
808	3217	759
809	3222	755
810	3226	751
811	3229	747
812	3233	743
813	3236	739
814	3240	735
815	3243	731
816	3247	727
817	3251	723
818	3255	719
819	3259	715
820	3262	711
821	3266	707
822	3269	703
823	3274	699
824	3279	695
825	3283	691
826	3288	687
827	3292	683
828	3296	679
829	3300	675
830	3303	671
831	3307	667
832	3311	663
833	3315	659
834	3318	655
835	3322	651
836	3326	647
837	3330	643
838	3333	639
839	3338	635
840	3342	631
841	3346	627
842	3349	623
843	3353	619
844	3357	615
845	3361	611
846	3366	608
847	3370	604
848	3374	600
849	3377	596
850	3381	592
851	3385	588
852	3388	583
853	3393	580
854	3397	576
855	3401	572
856	3406	568
857	3409	564
858	3413	560
859	3417	556
860	3421	552
861	3425	548
862	3429	544
863	3433	540
864	3436	536
865	3440	532
866	3444	528
867	3448	524
868	3452	520
869	3456	516
870	3460	512
871	3464	508
872	3468	504
873	3472	500
874	3475	496
875	3479	492
876	3483	488
877	3487	484
878	3491	480
879	3494	476
880	3498	472
881	3502	468
882	3505	464
883	3510	460
884	3514	456
885	3518	452
886	3522	448
887	3526	444
888	3530	440
889	3535	436
890	3539	433
891	3544	429
892	3548	425
893	3551	421
894	3555	417
895	3558	413
896	3562	409
897	3567	405
898	3570	401
899	3575	397
900	3579	393
901	3583	389
902	3587	385
903	3590	381
904	3594	377
905	3598	373
906	3602	369
907	3606	365
908	3609	361
909	3613	357
910	3617	353
911	3621	349
912	3625	345
913	3629	341
914	3633	337
915	3636	333
916	3640	329
917	3644	325
918	3647	321
919	3651	317
920	3655	313
921	3659	309
922	3663	305
923	3666	301
924	3670	297
925	3674	293
926	3678	289
927	3686	285
928	3690	282
929	3693	278
930	3696	273
931	3700	270
932	3704	266
933	3708	262
934	3712	258
935	3715	254
936	3720	250
937	3724	246
938	3728	242
939	3732	238
940	3735	234
941	3739	230
942	3744	226
943	3748	222
944	3751	218
945	3754	214
946	3759	210
947	3762	206
948	3766	202
949	3770	198
950	3774	194
951	3778	190
952	3781	186
953	3785	182
954	3788	178
955	3793	174
956	3797	170
957	3800	166
958	3804	162
959	3807	158
960	3811	154
961	3815	150
962	3819	146
963	3823	142
964	3827	138
965	3831	134
966	3835	130
967	3838	126
968	3842	122
969	3845	118
970	3849	114
971	3854	111
972	3859	107
973	3864	103
974	3868	99
975	3872	95
976	3876	91
977	3881	87
978	3884	83
979	3889	79
980	3892	75
981	3896	71
982	3901	67
983	3905	63
984	3909	59
985	3914	55
986	3918	51
987	3922	47
988	3925	43
989	3930	39
990	3933	35
991	3937	31
992	3942	27
993	3946	23
994	3950	19
995	3954	15
996	3957	11
997	3961	7
998	3965	3
999	3969	0
